# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb 21 18:17:57 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 10.00000 0.8283998370 2.4282662868    0.827  0.656  3.8158  3.915    2  0.000  0.529     0.00     0.00 -1 -6.85e-13      0.00 8.480e-01 1.519e-01 1.976e-05 5.442e-06 4.979e-05 -1.000 1.366e-04 3.130 4.202 3.354 3.155 3.115 3.137
0.00015547 -2.00000 10.00000 0.8301202059 2.4288203716    0.828  0.690  3.8084  3.852    2  0.000  0.529     0.00     0.00 -1 -7.94e-13      0.00 8.475e-01 1.524e-01 1.981e-05 5.457e-06 4.992e-05 -1.000 1.388e-04 3.046 4.132 3.288 3.067 3.015 3.029
0.00015547 -2.00000 10.00000 0.8314615488 2.4292504787    0.830  0.720  3.7996  3.788    2  0.000  0.529     0.00     0.00 -1 -9.16e-13      0.00 8.471e-01 1.528e-01 1.986e-05 5.469e-06 5.003e-05 -1.000 1.406e-04 2.970 4.076 3.235 2.987 2.921 2.924
0.00015547 -2.00000 10.00000 0.8325399160 2.4295949936    0.831  0.747  3.7900  3.722    2  0.000  0.529     0.00     0.00 -1 -1.05e-12      0.00 8.467e-01 1.531e-01 1.989e-05 5.479e-06 5.012e-05 -1.000 1.373e-04 2.902 4.036 3.193 2.914 2.833 2.825
0.00015547 -2.00000 10.00000 0.8334375024 2.4298810959    0.832  0.772  3.7800  3.657    2  0.000  0.530     0.00     0.00 -1  -1.2e-12      0.00 8.414e-01 1.585e-01 2.044e-05 5.627e-06 5.145e-05 -1.000 1.246e-04 2.839 4.007 3.160 2.849 2.751 2.732
0.00015547 -2.00000 10.00000 0.8342190981 2.4301295280    0.832  0.796  3.7705  3.596    2  0.000  0.532     0.00     0.00 -1 -1.36e-12      0.00 8.204e-01 1.794e-01 2.244e-05 6.162e-06 5.623e-05 -1.000 1.167e-04 2.780 3.988 3.129 2.786 2.673 2.643
0.00015547 -2.00000 10.00000 0.8349398375 2.4303581715    0.833  0.822  3.7619  3.537    2  0.000  0.534     0.00     0.00 -1 -1.54e-12      0.00 7.974e-01 2.025e-01 2.458e-05 6.736e-06 6.135e-05 -1.000 1.273e-04 2.716 3.966 3.093 2.722 2.595 2.555
0.00015547 -2.00000 10.00000 0.8356630802 2.4305872917    0.834  0.855  3.7542  3.472    2  0.000  0.536     0.00     0.00 -1  -1.8e-12      0.00 7.807e-01 2.191e-01 2.612e-05 7.148e-06 6.502e-05 -1.000 1.595e-04 2.632 3.929 3.035 2.637 2.497 2.448
0.00015547 -2.00000 10.00000 0.8362284303 2.4307658672    0.834  0.890  3.7490  3.417    2  0.000  0.536     0.00     0.00 -1 -2.07e-12      0.00 7.737e-01 2.262e-01 2.679e-05 7.325e-06 6.661e-05 -1.000 1.637e-04 2.544 3.874 2.965 2.550 2.401 2.345
0.00015547 -2.00000 10.00000 0.8367878795 2.4309425354    0.835  0.933  3.7449  3.358    2  0.000  0.537     0.00     0.00 -1 -2.44e-12      0.00 7.694e-01 2.305e-01 2.719e-05 7.432e-06 6.756e-05 -1.000 1.636e-04 2.438 3.798 2.874 2.444 2.289 2.228
0.00015547 -2.00000 10.00000 0.8368698359 2.4309682846    0.835  0.940  3.7445  3.349    2  0.000  0.537     0.00     0.00 -1 -2.52e-12      0.00 7.690e-01 2.309e-01 2.722e-05 7.443e-06 6.765e-05 -1.000 1.289e-04 2.419 3.783 2.858 2.426 2.270 2.208
0.00015547 -2.00000 10.00000 0.8373202085 2.4311103821    0.835  0.982  3.7421  3.298    3  0.000  0.537     0.00     0.00 -1 -2.93e-12      0.00 7.667e-01 2.332e-01 2.741e-05 7.493e-06 6.811e-05 -1.000 1.602e-04 2.316 3.696 2.763 2.323 2.163 2.098
0.00015547 -2.00000 10.00000 0.8378177881 2.4312667847    0.836  1.031  3.7397  3.240    3  0.000  0.537     0.00     0.00 -1  -3.5e-12      0.00 7.644e-01 2.355e-01 2.758e-05 7.539e-06 6.851e-05 -1.000 1.554e-04 2.194 3.593 2.650 2.202 2.038 1.970
0.00015547 -2.00000 10.00000 0.8382377028 2.4313988686    0.836  1.075  3.7379  3.189    3  0.000  0.537     0.00     0.00 -1 -4.11e-12      0.00 7.627e-01 2.372e-01 2.770e-05 7.570e-06 6.879e-05 -1.000 1.630e-04 2.083 3.498 2.546 2.093 1.926 1.856
0.00015547 -2.00000 10.00000 0.8386421800 2.4315257072    0.836  1.120  3.7362  3.137    3  0.000  0.537     0.00     0.00 -1 -4.84e-12      0.00 7.611e-01 2.387e-01 2.779e-05 7.595e-06 6.902e-05 -1.000 1.637e-04 1.970 3.400 2.440 1.981 1.811 1.739
0.00015547 -2.00000 10.00000 0.8390186429 2.4316439629    0.836  1.165  3.7346  3.086    3  0.000  0.537     0.00     0.00 -1 -5.68e-12      0.00 7.596e-01 2.402e-01 2.786e-05 7.617e-06 6.920e-05 -1.000 1.637e-04 1.859 3.302 2.334 1.871 1.698 1.624
0.00015547 -2.00000 10.00000 0.8393733501 2.4317550659    0.837  1.210  3.7332  3.036    3  0.000  0.536     0.00     0.00 -1 -6.68e-12      0.00 7.582e-01 2.416e-01 2.790e-05 7.636e-06 6.935e-05 -1.000 1.579e-04 1.746 3.202 2.227 1.759 1.585 1.509
0.00015547 -2.00000 10.00000 0.8397282958 2.4318661690    0.837  1.258  3.7317  2.981    3  0.000  0.536     0.00     0.00 -1 -7.95e-12      0.00 7.568e-01 2.430e-01 2.792e-05 7.658e-06 6.948e-05 -1.000 1.252e-04 1.625 3.094 2.112 1.639 1.462 1.384
0.00015547 -2.00000 10.00000 0.8400349617 2.4319620132    0.837  1.303  3.7302  2.930    3  0.000  0.535     0.00     0.00 -1 -9.36e-12      0.00 7.556e-01 2.442e-01 2.790e-05 7.686e-06 6.958e-05 -1.000 1.465e-04 1.512 2.994 2.004 1.527 1.348 1.268
0.00015547 -2.00000 10.00000 0.8403366208 2.4320561886    0.837  1.351  3.7287  2.876    3  0.000  0.533     0.00     0.00 -1 -1.11e-11      0.00 7.545e-01 2.454e-01 2.785e-05 7.734e-06 6.967e-05 -1.000 1.637e-04 1.392 2.889 1.890 1.408 1.226 1.145
0.00015547 -2.00000 10.00000 0.8406104445 2.4321417809    0.837  1.399  3.7272  2.823    3  0.000  0.531     0.00     0.00 -1 -1.32e-11      0.00 7.534e-01 2.464e-01 2.776e-05 7.808e-06 6.973e-05 -1.000 1.636e-04 1.273 2.785 1.777 1.291 1.107 1.023
0.00015547 -2.00000 10.00000 0.8408581018 2.4322190285    0.838  1.445  3.7257  2.771    3  0.000  0.529     0.00     0.00 -1 -1.56e-11      0.00 7.526e-01 2.472e-01 2.765e-05 7.906e-06 6.979e-05 -1.000 1.637e-04 1.157 2.684 1.667 1.176 0.990 0.904
0.00015547 -2.00000 10.00000 0.8410839438 2.4322893620    0.838  1.491  3.7242  2.719    3  0.000  0.526     0.00     0.00 -1 -1.84e-11      0.00 7.519e-01 2.480e-01 2.753e-05 8.021e-06 6.983e-05 -1.000 1.636e-04 1.042 2.583 1.558 1.062 0.873 0.786
0.00015547 -2.00000 10.00000 0.8412972093 2.4323558807    0.838  1.539  3.7227  2.665    3  0.000  0.524     0.00     0.00 -1 -2.18e-11      0.00 7.513e-01 2.486e-01 2.741e-05 8.144e-06 6.987e-05 -1.000 1.636e-04 0.923 2.479 1.446 0.945 0.754 0.664
0.00015547 -2.00000 10.00000 0.8414878249 2.4324152470    0.838  1.585  3.7211  2.613    3  0.000  0.522     0.00     0.00 -1 -2.58e-11      0.00 7.508e-01 2.490e-01 2.730e-05 8.262e-06 6.989e-05 -1.000 1.637e-04 0.808 2.378 1.337 0.831 0.637 0.546
0.00015547 -2.00000 10.00000 0.8416587114 2.4324684143    0.838  1.630  3.7195  2.561    3  0.000  0.520     0.00     0.00 -1 -3.03e-11      0.00 7.505e-01 2.494e-01 2.722e-05 8.350e-06 6.991e-05 -1.000 1.637e-04 0.696 2.281 1.231 0.720 0.524 0.431
