#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
74,110.60713171513957,-24.060991784326752,358.5722,37.4316,24772.9536,11.9413,166.2459,-95.0134,-21.7887,-125.7509,1.6286,0.1194,-1.7495,1,0.1167,3.1E-4,10.0755,0.7083302609460654,0.7079061206711372,-0.1237628709689797,3.7852403690645957,4.504578172646823,5.079500449245017,6.2205697560403275,5.419450494169518,5.092838883137631,4.996719621266823,4.983973446686282,3.0271453430704853,1.0,22.12035103183687,22.269501453575813,21.943795630628035,22.13707507684369,21.96369549154053
76,110.59914428611455,-24.101543633057194,358.5756,37.3904,24843.5705,12.1195,193.4616,-111.6466,-22.2371,-148.4485,1.888,0.1592,-1.7698,1,0.1167,2.46E-4,10.0828,0.7070384500060912,0.7066254257749769,-0.11183209254336113,3.786906082717636,4.498702287150655,5.04912360118855,6.17676666692096,5.388205353035642,5.070735766623823,4.976521411379686,4.96548053545614,3.026444623969329,1.0,22.365189208927266,22.330247020922823,22.23283906846993,21.796409037532243,22.48432584140195
77,110.64305438618041,-24.095508860655247,358.6227,37.4059,25052.7552,12.0093,135.1127,-106.8992,9.7682,-138.79,1.3665,0.2286,-1.7334,1,0.1167,3.1E-4,10.0792,0.7175121450464406,0.7170563607652782,-0.06822928040710673,3.789751167498165,4.472768840397319,4.94019484621031,6.06033078275677,5.266871040446255,4.961491813514709,4.8737887808191065,4.866572328893677,3.0321298273080286,1.0,23.32847036274178,22.18020448488711,21.834928815024284,21.931435765802643,22.49158399659035
78,110.56186957469865,-24.108518048274018,358.5361,37.3755,25046.6727,12.0092,150.1312,-126.2912,-19.57,-148.0673,1.6017,0.0101,-1.7293,1,0.1167,3.1E-4,10.0792,0.7438026724668371,0.743128482465454,0.0964997810222892,3.801201413174387,4.369307890495812,4.528438425973131,5.610436407152578,4.820434388332024,4.562438425973131,4.494690949498822,4.501442463614238,3.0457242919376046,1.0,21.910369722918222,21.886265341329118,21.676906438161375,21.477028591880195,21.136924649896734
79,110.59344021811175,-24.096613150791555,358.5677,37.394,24974.1496,11.976,154.7945,-91.0065,-13.4521,-121.9773,1.5008,0.1553,-1.7126,1,0.1167,3.1E-4,10.0792,0.7590336038886475,0.7582206708744192,0.21014414654726815,3.8071694887978538,4.28844865206497,4.244586582511615,5.319223195954191,4.518284218358484,4.279586582511615,4.2225255601073215,4.235101151145605,3.0531813360065962,1.0,22.66010044448473,21.493101028517273,21.21880460655819,21.190285000870613,21.04920272332149
85,110.63078751729911,-24.065168464493972,358.5999,37.4327,24995.8641,11.928,152.0201,-93.0868,-3.0437,-127.2119,1.4675,0.2191,-1.81,1,0.1167,2.46E-4,10.0755,0.6844379589240281,0.6840843996931646,-0.23694263129529758,3.7751877785667225,4.56262846877059,5.362584471838944,6.552822430199731,5.734115025422138,5.366951833443146,5.2525981310543495,5.226332854262752,3.013588340261948,1.0,24.02310636722233,22.63979639347103,22.43397707548392,22.193506112087714,22.431471915969084
86,110.64148176430017,-24.106088254438905,358.6242,37.3953,24959.5244,11.962,153.3601,-118.0059,-4.7776,-148.1963,1.574,0.1496,-1.7019,1,0.1167,3.1E-4,10.0792,0.7680762009218234,0.76722308237094,0.2878504001668978,3.810113148239876,4.22738751044948,4.050226446639943,5.123816658411194,4.31345581132619,4.085226446639943,4.0331117642968195,4.049406870182445,3.0574725651633803,1.0,21.949346538059,21.310072969117936,21.09393770913798,21.143140767058135,20.66847660933265
87,110.5823627668059,-24.119432053315407,358.5623,37.3694,24945.0731,11.9674,182.1347,-115.6689,-11.9893,-152.3724,1.7921,0.1908,-1.703,1,0.1167,3.1E-4,10.0792,0.7625729180276548,0.7617471693296355,0.2396656562348655,3.8084157231098783,4.2658423931804546,4.170835859412836,5.2444779978578975,4.440330828528261,4.205835859412836,4.150909444077654,4.164983028742472,3.054871885695858,1.0,22.427364233136213,21.44958643086889,21.228135805578972,21.11242885489662,20.821868536275097
88,110.5522641198784,-24.10387609871298,358.524,37.3779,24544.0583,12.0601,149.3176,-97.7019,-0.1537,-131.2929,1.4854,0.2262,-1.7326,1,0.1167,3.1E-4,10.0828,0.7205405928713262,0.720006022265692,-0.04519526426447104,3.791393118627666,4.458206233847653,4.883066655307735,5.995670955100543,5.204298912272999,4.906322569652646,4.822206441170014,4.816776334101154,3.0337434013501055,1.0,22.47466752161187,22.22606420731258,21.661325981412265,21.85063175040186,22.243131404656122
89,110.60008358144776,-24.054613841914993,358.5624,37.4362,24881.4225,11.9485,137.0051,-70.1518,-7.0562,-101.1055,1.2861,0.1998,-1.705,1,0.1167,3.1E-4,10.0755,0.6784678109301349,0.6781244353666354,-0.2743215525963752,3.7704117353317446,4.577177335145661,5.455803881490938,6.681143116531928,5.836842469616771,5.453046646217344,5.331774940396563,5.30151288160724,3.0100560900124016,1.0,23.358335304371256,22.951372040741266,22.489110324902647,22.070959340076634,21.886885188112675
90,110.57620581173433,-24.09815032460513,358.549,37.3887,25120.3152,11.9886,180.9979,-114.2562,2.3728,-156.6819,1.7395,0.2966,-1.7297,1,0.1167,3.1E-4,10.0792,0.712890435977811,0.7124695876187812,-0.09433020378836386,3.787621594251577,4.4875120397967745,5.005720176874553,6.135138868598449,5.338402859754721,5.023194833223537,4.931669489572522,4.921722815536082,3.0296411697889565,1.0,21.748700683001683,22.318771577188777,21.92427111432961,22.205207375022944,22.07983629381654
